City_Name, Category_Name, Overall_Category_Score, SubCategory_Label, SubCategory_Score
Aarhus,Cost of Living,4.02,Inflation [Teleport score],0.40
Aarhus,Cost of Living,4.02,A kilogram of Apples,2.90
Aarhus,Cost of Living,4.02,Bread,0.87
Aarhus,Cost of Living,4.02,A Cappuccino,5.60
Aarhus,Cost of Living,4.02,Movie ticket,17.00
Aarhus,Cost of Living,4.02,Monthly fitness club membership,37.00
Aarhus,Cost of Living,4.02,A beer,1.70
Aarhus,Cost of Living,4.02,Monthly public transport,62.00
Aarhus,Cost of Living,4.02,Lunch,15.00
Aarhus,Cost of Living,4.02,5km taxi ride,13.00
Aarhus,Cost of Living,4.02,Price of a meal at a restaurant,97.32
Aarhus,Healthcare,9.13,Healthcare expenditure [Teleport score],0.92
Aarhus,Healthcare,9.13,Life expectancy (years),80.58
Aarhus,Healthcare,9.13,Life expectancy [Teleport score],0.83
Aarhus,Healthcare,9.13,Healthcare quality [Teleport score],0.98
Aarhus,Internet Access,8.37,Download speed (Mbps),90.07
Aarhus,Internet Access,8.37,Internet access (download) [Teleport score],0.82
Aarhus,Internet Access,8.37,Upload speed (Mbps),31.50
Aarhus,Internet Access,8.37,Internet access (upload) [Teleport score],0.86
Aarhus,Environmental Quality,7.63,Air quality [Teleport score],0.80
Aarhus,Environmental Quality,7.63,Cleanliness [Teleport score],0.85
Aarhus,Environmental Quality,7.63,Drinking water quality [Teleport score],0.77
Aarhus,Environmental Quality,7.63,Urban greenery [Teleport score],0.64
Aarhus,Travel Connectivity,3.54,Airport hub,8.00
Aarhus,Travel Connectivity,3.54,Airport hub [Teleport score],0.12
Aarhus,Travel Connectivity,3.54,Intercity train connectivity [Teleport score],0.59
Aarhus,Outdoors,4.13,Urban area elevation (meters),11.00
Aarhus,Outdoors,4.13,Median peak in meters,95.50
Aarhus,Outdoors,4.13,Elevation (hills or mountains) [Teleport score],0.12
Aarhus,Outdoors,4.13,Water access [Teleport score],0.71
Aarhus,Outdoors,4.13,Seaside access,1.00
Athens,Cost of Living,6.50,Inflation [Teleport score],0.65
Athens,Cost of Living,6.50,A kilogram of Apples,1.70
Athens,Cost of Living,6.50,Bread,0.64
Athens,Cost of Living,6.50,A Cappuccino,3.90
Athens,Cost of Living,6.50,Movie ticket,8.80
Athens,Cost of Living,6.50,Monthly fitness club membership,42.00
Athens,Cost of Living,6.50,A beer,1.80
Athens,Cost of Living,6.50,Monthly public transport,40.00
Athens,Cost of Living,6.50,Lunch,16.00
Athens,Cost of Living,6.50,5km taxi ride,8.30
Athens,Cost of Living,6.50,Price of a meal at a restaurant,62.87
Athens,Healthcare,7.26,Healthcare expenditure [Teleport score],0.70
Athens,Healthcare,7.26,Life expectancy (years),80.98
Athens,Healthcare,7.26,Life expectancy [Teleport score],0.86
Athens,Healthcare,7.26,Healthcare quality [Teleport score],0.62
Athens,Internet Access,2.23,Download speed (Mbps),14.00
Athens,Internet Access,2.23,Internet access (download) [Teleport score],0.26
Athens,Internet Access,2.23,Upload speed (Mbps),4.22
Athens,Internet Access,2.23,Internet access (upload) [Teleport score],0.18
Athens,Environmental Quality,3.80,Air quality [Teleport score],0.42
Athens,Environmental Quality,3.80,Cleanliness [Teleport score],0.29
Athens,Environmental Quality,3.80,Drinking water quality [Teleport score],0.71
Athens,Environmental Quality,3.80,Urban greenery [Teleport score],0.10
Athens,Travel Connectivity,3.71,Airport hub,104.00
Athens,Travel Connectivity,3.71,Airport hub [Teleport score],0.48
Athens,Travel Connectivity,3.71,Intercity train connectivity [Teleport score],0.26
Athens,Outdoors,6.48,Urban area elevation (meters),88.00
Athens,Outdoors,6.48,Presence of hills in city,1.00
Athens,Outdoors,6.48,Presence of mountains in city,1.00
Athens,Outdoors,6.48,Median peak in meters,983.00
Athens,Outdoors,6.48,Elevation (hills or mountains) [Teleport score],0.34
Athens,Outdoors,6.48,Water access [Teleport score],0.95
Athens,Outdoors,6.48,Seaside access,1.00
Beirut,Cost of Living,6.30,Inflation [Teleport score],0.63
Beirut,Cost of Living,6.30,A kilogram of Apples,1.60
Beirut,Cost of Living,6.30,Bread,0.34
Beirut,Cost of Living,6.30,A Cappuccino,4.50
Beirut,Cost of Living,6.30,Movie ticket,10.00
Beirut,Cost of Living,6.30,Monthly fitness club membership,73.00
Beirut,Cost of Living,6.30,A beer,1.30
Beirut,Cost of Living,6.30,Monthly public transport,62.00
Beirut,Cost of Living,6.30,Lunch,19.00
Beirut,Cost of Living,6.30,5km taxi ride,7.00
Beirut,Cost of Living,6.30,Price of a meal at a restaurant,65.55
Beirut,Healthcare,5.91,Healthcare expenditure [Teleport score],0.47
Beirut,Healthcare,5.91,Life expectancy (years),74.88
Beirut,Healthcare,5.91,Life expectancy [Teleport score],0.49
Beirut,Healthcare,5.91,Healthcare quality [Teleport score],0.81
Beirut,Internet Access,1.59,Download speed (Mbps),5.55
Beirut,Internet Access,1.59,Internet access (download) [Teleport score],0.10
